date,description
2021-01-01,元旦节
2021-01-04,全国人大常委会通过《民法典》草案
2021-01-11,中国疫情防控措施持续加强，部分地区封闭管理
2021-01-13,政协委员提案建议推动数字货币发展
2021-01-15,中国2020年GDP数据发布，增长2.3%
2021-01-20,国家统计局发布2020年经济分析报告
2021-01-26,证监会召开会议，讨论资本市场改革
2021-01-28,政府发布新一轮经济刺激政策
2021-01-31,多地发布春节假期安排，鼓励就地过年
2021-02-01,中央银行发布2021年货币政策工作会议强调保持流动性合理充裕。
2021-02-03,证监会发布《关于进一步提高上市公司质量的意见》，旨在加强上市公司治理。
2021-02-05,国家统计局发布1月份制造业PMI数据，显示制造业持续扩张。
2021-02-08,央行开展MLF操作，保持银行体系流动性合理充裕。
2021-02-10,证监会公布关于进一步推动资本市场对外开放的相关政策措施。
2021-02-18,国家统计局发布2020年中国经济年报，GDP同比增长2.3%。
2021-02-19,证监会对近期市场异常波动进行情况通报，强调增强市场稳定性。
2021-02-23,证监会发布《上市公司信息披露管理办法（修订征求意见稿）》，征求公众意见。
2021-02-25,央行召开货币政策委员会会议，强调要继续支持实体经济复苏。
2021-02-26,证监会宣布对某些违规行为进行处罚，以维护市场秩序。
2021-03-01,全国人大召开，讨论2021年政府工作报告。
2021-03-05,李克强总理在全国人大会议上作政府工作报告。
2021-03-10,全国政协会议闭幕，发布相关提案和建议。
2021-03-12,全国人大通过《十四五规划纲要》，确定发展目标。
2021-03-15,消费者权益日，多个部门联合发布消费警示。
2021-03-18,中国人民银行召开新闻发布会，介绍货币政策。
2021-03-20,国家统计局发布2月份经济数据，显示复苏趋势。
2021-03-25,证监会发布新规，推动资本市场健康发展。
2021-03-28,国家统计局发布3月份制造业PMI数据，显示持续扩张。
2021-03-31,央行发布数据，显示外汇储备保持稳定。
2021-04-01,全国人民代表大会常务委员会召开，讨论重要法律议案。
2021-04-05,国务院召开常务会议，部署促进消费的相关政策。
2021-04-10,国家统计局发布3月份经济数据，显示经济复苏加速。
2021-04-15,央行发布2021年一季度金融统计数据，分析货币政策走势。
2021-04-20,证监会发布新规，进一步完善资本市场基础制度。
2021-04-23,国家统计局发布4月份制造业PMI数据，显示持续扩张。
2021-04-25,工业和信息化部召开会议，推进数字经济发展。
2021-04-28,国家外汇管理局发布外汇市场运行情况分析。
2021-04-30,国务院发布《促进外贸稳增长的若干措施》。
2021-05-01,五一劳动节假期开始，国内旅游市场复苏。
2021-05-05,国家统计局发布4月份制造业PMI数据，显示经济增长势头良好。
2021-05-10,国务院召开会议，研究部署乡村振兴战略。
2021-05-15,央行发布金融统计数据，分析信贷投放情况。
2021-05-20,证监会发布关于进一步推动资本市场对外开放的新措施。
2021-05-25,国家统计局发布1季度GDP数据，经济同比增长18.3%。
2021-05-28,央行召开货币政策委员会会议，讨论货币政策调整。
2021-05-30,国家外汇管理局发布外汇市场运行情况及政策措施。
2021-06-01,全国人民代表大会召开，讨论国家重要法律和政策。
2021-06-05,国家统计局发布5月份制造业PMI数据，显示经济持续扩张。
2021-06-10,国务院召开会议，部署进一步推动科技创新的政策。
2021-06-15,央行发布2021年5月份金融统计数据，信贷增速放缓。
2021-06-20,证监会发布关于完善证券市场基础制度的通知。
2021-06-25,国家统计局发布6月份经济预警数据，显示经济回暖迹象。
2021-06-28,央行召开货币政策委员会会议，讨论货币政策方向。
2021-06-30,国家外汇管理局发布外汇储备数据，保持稳定。
2021-07-01,庆祝中国共产党成立100周年大会在北京举行。
2021-07-05,国家统计局发布6月份制造业PMI数据，显示经济继续扩张。
2021-07-10,国务院召开会议，部署下半年经济工作重点。
2021-07-15,央行发布2021年上半年金融统计数据，分析信贷投放情况。
2021-07-20,证监会发布关于进一步加强资本市场监管的通知。
2021-07-25,国家统计局发布7月份经济运行分析报告，GDP增速预测。
2021-07-28,央行召开货币政策委员会会议，讨论货币政策调整。
2021-07-31,国家外汇管理局发布外汇市场运行情况及政策调整。
2021-08-01,全国人民代表大会常务委员会召开，讨论重要法律草案。
2021-08-05,国家统计局发布7月份制造业PMI数据，显示经济增长减缓。
2021-08-10,国务院召开会议，研究部署下半年经济政策。
2021-08-15,央行发布2021年上半年金融统计数据，分析信贷和货币政策。
2021-08-20,证监会发布新规，进一步促进资本市场对外开放。
2021-08-25,国家统计局发布8月份经济运行情况分析，GDP增速预测。
2021-08-30,央行召开货币政策委员会会议，讨论货币政策方向。
2021-09-01,国务院发布关于进一步推动高质量发展的意见。
2021-09-05,国家统计局发布8月份制造业PMI数据，显示经济回暖迹象。
2021-09-10,央行召开会议，讨论货币政策和金融市场稳定措施。
2021-09-15,证监会发布关于加强资本市场监管的通知。
2021-09-20,国家发改委发布关于促进消费和投资的政策措施。
2021-09-25,国家统计局发布9月份经济运行情况，分析GDP增速。
2021-09-30,央行发布第三季度金融统计数据，分析货币政策效果。
2021-10-01,国庆节假期，庆祝中华人民共和国成立72周年。
2021-10-05,国家统计局发布9月份制造业PMI数据，显示经济增长放缓。
2021-10-10,国务院召开会议，研究经济复苏和稳定增长的措施。
2021-10-15,央行发布第三季度金融统计数据，分析信贷投放情况。
2021-10-20,证监会发布关于推动上市公司高质量发展的指导意见。
2021-10-25,国家统计局发布10月份经济运行情况分析，预测GDP增速。
2021-10-30,央行召开货币政策委员会会议，讨论货币政策调整策略。
2021-11-01,国家统计局发布10月份制造业PMI数据，显示经济回暖迹象。
2021-11-05,国务院召开会议，讨论促进消费和投资的政策。
2021-11-10,央行发布关于金融市场稳定的报告，分析货币政策影响。
2021-11-15,证监会发布新规，推动资本市场对外开放。
2021-11-20,国家发改委发布关于加强基础设施建设的指导意见。
2021-11-25,国家统计局发布11月份经济运行情况，分析GDP增速。
2021-11-30,央行召开货币政策委员会会议，讨论年底货币政策调整。
2021-12-01,中国人民银行决定降准，释放长期资金以支持经济复苏。
2021-12-04,全国人大常委会通过重要的法律修订，涉及经济和民生领域。
2021-12-10,国家统计局发布11月份经济数据，显示制造业和服务业回暖。
2021-12-15,国务院召开会议，部署2022年经济工作重点。
2021-12-20,证监会发布关于优化资本市场的系列改革措施。
2021-12-25,国家发改委发布关于促进绿色经济发展的新政策。
2021-12-31,国家统计局发布2021年经济总结报告，分析全年经济表现。
2022-01-03,中国人民银行发布2021年货币政策执行报告，分析经济形势。
2022-01-10,国家统计局发布2021年经济数据，GDP增速为8.1%。
2022-01-15,国务院召开会议，讨论2022年经济工作重点，强调稳增长。
2022-01-20,证监会发布关于支持科技创新企业上市的新政策。
2022-01-25,国家发改委公布2021年固定资产投资数据，增速回落。
2022-01-28,中国正式实施《反垄断法》修订，强化市场竞争监管。
2022-01-31,国家统计局发布2021年居民收入和消费数据，分析消费市场趋势。
2022-02-01,全国人民代表大会召开，讨论2022年经济和社会发展计划。
2022-02-07,国家统计局发布1月份制造业PMI，显示经济增速放缓。
2022-02-10,央行宣布下调贷款市场报价利率，进一步支持实体经济。
2022-02-15,国务院发布关于促进消费的指导意见，鼓励扩大内需。
2022-02-19,证监会举办资本市场创新发展论坛，讨论新经济企业融资问题。
2022-02-23,国家发改委发布2021年能源消耗和碳排放数据，分析能源结构。
2022-02-28,国家统计局发布1月份经济运行情况，重点关注消费和投资数据。
2022-03-01,全国人大召开，审议《政府工作报告》，部署2022年经济目标。
2022-03-05,中国政府发布2022年经济增长目标为5.5%左右。
2022-03-10,国家统计局发布2月份制造业PMI，显示经济有所回暖。
2022-03-15,央行召开货币政策委员会会议，讨论未来货币政策方向。
2022-03-20,国家发改委发布关于推动绿色低碳发展的新政策。
2022-03-25,证监会推出新一轮资本市场改革措施，促进融资便利化。
2022-03-30,国家统计局发布3月份经济运行情况，分析整体经济趋势。
2022-04-01,全国人大常委会审议反垄断法修订草案，进一步加强市场监管。
2022-04-05,国家统计局发布3月份制造业PMI，显示经济继续承压。
2022-04-10,国务院发布关于促进经济平稳发展的政策措施，强调稳增长。
2022-04-15,央行宣布降息，以应对经济放缓和市场需求不足。
2022-04-20,国家发改委召集企业座谈会，讨论应对原材料价格上涨的策略。
2022-04-25,证监会发布关于提升上市公司质量的指导意见，鼓励企业规范治理。
2022-04-30,国家统计局发布4月份经济运行情况，关注消费和投资回暖迹象。
2022-05-01,全国范围内实施五一假期，促进消费回暖。
2022-05-05,国家统计局发布4月份制造业PMI，显示经济疲软迹象。
2022-05-10,国务院召开会议，讨论应对全球通货膨胀影响的措施。
2022-05-15,央行发布金融支持实体经济的相关政策，加大信贷投放。
2022-05-20,国家发改委推出新一轮基建投资计划，促进经济复苏。
2022-05-25,证监会发布关于加强资本市场投资者保护的意见。
2022-05-31,国家统计局发布5月份经济运行情况，分析消费和投资趋势。
2022-06-03,国家统计局发布5月份制造业PMI，显示经济复苏缓慢。
2022-06-10,国务院召开会议，讨论促进消费和稳定经济增长的措施。
2022-06-15,央行发布2022年中期货币政策报告，分析经济形势与政策调整。
2022-06-18,国家发改委发布关于推动数字经济发展的指导意见。
2022-06-22,证监会召开投资者保护工作会议，强调金融市场透明度。
2022-06-27,国家统计局发布6月份经济运行数据，重点关注消费和出口情况。
2022-06-30,国务院发布关于优化营商环境的实施意见，推动经济高质量发展。
2022-07-01,中国共产党第二十次全国代表大会筹备工作正式启动。
2022-07-05,国家统计局发布6月份制造业PMI，显示经济回暖迹象。
2022-07-12,国务院召开会议，进一步部署稳增长措施，聚焦基础设施投资。
2022-07-15,央行发布降准政策，旨在为经济注入更多流动性。
2022-07-20,国家发改委发布关于加快新能源发展的指导意见。
2022-07-25,证监会召开全体会议，讨论资本市场改革与投资者保护。
2022-07-30,国家统计局发布7月份经济运行情况，分析消费和投资的新趋势。
2022-08-02,国家统计局发布7月份制造业PMI，继续反映经济复苏的脆弱性。
2022-08-08,国务院召开会议，部署进一步稳定经济增长的政策措施。
2022-08-12,央行宣布下调贷款市场报价利率（LPR），以降低融资成本。
2022-08-16,国家发改委发布关于加快推进重大项目建设的通知。
2022-08-23,证监会推出一系列措施，旨在吸引外资流入中国资本市场。
2022-08-27,国家统计局发布8月份经济运行情况，分析通货膨胀和消费趋势。
2022-08-31,国务院发布关于推动绿色发展的实施意见，强调可持续发展。
2022-09-02,国家统计局发布8月份制造业PMI，显示经济保持温和复苏。
2022-09-08,国务院召开会议，强调在当前经济形势下增强市场信心。
2022-09-14,央行发布关于继续实施稳健货币政策的声明，支持经济复苏。
2022-09-19,国家发改委发布关于推动数字经济与传统产业融合发展的指导意见。
2022-09-23,证监会推出新一轮资本市场改革措施，优化上市公司生态。
2022-09-28,国家统计局发布9月份经济运行数据，分析消费与投资的变化。
2022-09-30,国务院发布关于促进国际贸易稳增长的实施方案。
2022-10-01,中国国庆节假期开始，旅游和消费市场逐渐回暖。
2022-10-08,国家统计局发布9月份制造业PMI，显示经济增速有所放缓。
2022-10-13,国务院召开会议，强调进一步稳定就业和促进消费。
2022-10-17,中国共产党第二十次全国代表大会召开，确定未来五年发展战略。
2022-10-22,央行发布关于金融支持实体经济的系列政策措施。
2022-10-26,国家发改委公布新一轮基础设施投资计划，推动经济增长。
2022-10-31,证监会发布关于完善资本市场基础制度的改革方案。
2022-11-01,中国共产党第二十次全国代表大会闭幕，习近平再次当选总书记。
2022-11-05,国家统计局发布10月份制造业PMI，显示经济复苏面临挑战。
2022-11-10,国务院发布关于促进消费的若干政策措施，刺激内需。
2022-11-15,央行宣布下调存款准备金率，进一步释放流动性。
2022-11-20,国家发改委召开会议，部署冬季能源保障工作，确保供暖和生产。
2022-11-25,证监会发布关于加强资本市场监管的指导意见，维护市场秩序。
2022-11-30,国家统计局发布11月份经济运行数据，分析就业与投资形势。
2022-12-01,国务院发布关于优化疫情防控工作的通知，调整防控措施。
2022-12-05,国家统计局发布11月份制造业PMI，显示经济复苏迹象。
2022-12-10,央行宣布推出专项再贷款，支持小微企业和重点行业。
2022-12-15,国家发改委召开会议，部署2023年经济发展目标与政策。
2022-12-20,证监会发布关于加强上市公司信息披露的指导意见。
2022-12-25,国家统计局发布12月份经济运行数据，分析消费与投资变化。
2022-12-30,国务院召开会议，研究2023年经济工作，强调稳定增长和改革。
2023-01-01,中国正式实施新一轮疫情防控政策，放宽对国际旅行的限制。
2023-01-05,国家统计局发布2022年经济数据，GDP增速放缓至3%。
2023-01-10,央行召开会议，宣布继续实施稳健的货币政策，支持经济复苏。
2023-01-15,国务院发布关于促进消费和投资的指导意见，推动经济增长。
2023-01-20,国家发改委召开会议，部署2023年基础设施投资计划。
2023-01-25,证监会发布关于支持绿色金融发展的政策措施，推动可持续发展。
2023-01-30,国家统计局发布1月份制造业PMI数据，显示经济回暖趋势。
2023-02-01,中国春节假期结束，各地复工复产逐步恢复。
2023-02-05,国家统计局发布1月份制造业和非制造业PMI，显示经济回暖。
2023-02-10,央行召开货币政策委员会会议，强调保持流动性合理充裕。
2023-02-15,国务院发布关于促进数字经济发展的行动计划，推动创新。
2023-02-20,国家发改委召开会议，部署2023年重点项目投资方向。
2023-02-25,证监会发布新的资本市场改革措施，以提升市场活跃度。
2023-02-28,国家统计局发布2月份经济运行状况数据，分析消费和投资趋势。
2023-03-01,全国两会召开，讨论2023年经济和社会发展计划。
2023-03-05,李克强总理在两会开幕式上作政府工作报告，提出经济增长目标。
2023-03-10,国家统计局发布2月份CPI和PPI数据，分析通货膨胀趋势。
2023-03-15,央行发布2022年金融稳定报告，评估金融系统风险与挑战。
2023-03-20,国家发改委发布关于促进绿色发展的指导意见，推动可持续发展。
2023-03-25,证监会出台新规，鼓励科技创新企业上市融资。
2023-03-30,国家统计局发布3月份经济运行数据，分析企业复工复产情况。
2023-04-02,中国政府发布关于促进外贸稳定增长的政策措施。
2023-04-07,国家统计局发布3月份制造业和非制造业PMI，显示经济复苏势头。
2023-04-12,央行召开货币政策委员会会议，决定维持利率不变，支持经济复苏。
2023-04-16,国务院发布关于加快推进数字经济发展的实施方案。
2023-04-21,国家发改委召开会议，部署2023年重点基础设施投资项目。
2023-04-26,证监会发布新的资本市场改革措施，推动股市稳定发展。
2023-04-30,国家统计局发布4月份经济数据，分析消费恢复情况及投资趋势。
2023-05-01,中国劳动节假期，国内旅游和消费回暖，经济活动增强。
2023-05-05,国家统计局发布4月份CPI和PPI数据，分析通胀压力。
2023-05-10,央行发布2023年第一季度金融稳定报告，指出潜在金融风险。
2023-05-15,国务院召开会议，部署进一步促进消费和投资的政策措施。
2023-05-20,国家发改委发布关于推动绿色能源发展的新政策。
2023-05-25,证监会发布新规，鼓励企业进行股权融资，支持实体经济。
2023-05-30,国家统计局发布5月份经济运行数据，分析经济复苏趋势。
2023-06-01,中国政府发布关于促进制造业高质量发展的政策文件。
2023-06-05,国家统计局发布5月份制造业和非制造业PMI，显示经济增长趋稳。
2023-06-10,央行召开货币政策委员会会议，讨论未来的货币政策方向。
2023-06-15,国务院发布关于深化供给侧结构性改革的实施方案。
2023-06-20,国家发改委召开会议，部署重点基础设施建设项目的推进。
2023-06-25,证监会发布关于优化资本市场服务实体经济的新举措。
2023-06-30,国家统计局发布上半年经济数据，分析经济运行总体情况。
2023-07-01,中国庆祝建党102周年，举办系列纪念活动。
2023-07-05,国家统计局发布6月份制造业和非制造业PMI，经济回暖趋势显现。
2023-07-10,央行发布6月份金融统计数据，显示信贷投放情况。
2023-07-15,国务院召开会议，部署促进民间投资和消费的政策措施。
2023-07-20,国家发改委发布关于推动数字经济发展的新政策。
2023-07-25,证监会推动资本市场改革，促进企业上市融资。
2023-07-30,国家统计局发布上半年经济发展情况，分析增长动能与挑战。
2023-08-01,中国政府发布关于促进智能制造和数字化转型的指导意见。
2023-08-05,国家统计局发布7月份制造业和非制造业PMI，显示经济复苏的持续性。
2023-08-10,央行召开货币政策委员会会议，讨论未来利率政策及流动性管理。
2023-08-15,国务院召开会议，部署新一轮的减税降费政策以刺激经济。
2023-08-20,国家发改委发布关于加快基础设施建设投资的通知。
2023-08-25,证监会推出新规，进一步优化资本市场的融资环境。
2023-08-30,国家统计局发布8月份经济数据，分析消费和投资的变化趋势。
2023-09-02,中国举行中秋节和国庆节的系列文化活动，促进国内旅游。
2023-09-07,国家统计局发布8月份制造业和非制造业PMI，分析经济走势。
2023-09-12,央行发布货币政策季度报告，讨论信贷投放和货币市场情况。
2023-09-18,国务院召开会议，部署促进绿色经济和可持续发展的新措施。
2023-09-23,国家发改委发布关于推动乡村振兴和农业现代化的政策。
2023-09-28,证监会推出新的资本市场改革举措，鼓励科技企业上市。
2023-09-30,国家统计局发布三季度经济数据，分析经济复苏的进展。
2023-10-01,中国庆祝国庆节，举行盛大的阅兵和文艺演出。
2023-10-06,国家统计局发布9月份制造业和非制造业PMI，分析经济运行情况。
2023-10-10,央行召开货币政策委员会会议，讨论未来的货币政策和利率调整。
2023-10-15,国务院发布关于推动科技创新和自主研发的政策措施。
2023-10-20,国家发改委召开会议，部署基础设施建设和投资项目。
2023-10-25,证监会发布新规，促进资本市场的健康发展。
2023-10-30,国家统计局发布前三季度经济数据，分析经济增长的动因与挑战。
2023-11-02,国家统计局发布10月份制造业和非制造业PMI，分析经济走势与变化。
2023-11-07,央行发布最新的货币政策报告，讨论流动性和信贷情况。
2023-11-12,国务院召开会议，部署促进外贸和吸引外资的新举措。
2023-11-17,国家发改委发布关于推动绿色能源发展的政策文件。
2023-11-22,证监会召开专项会议，讨论资本市场的改革进展及下一步计划。
2023-11-27,国家统计局发布10月份和11月份的经济数据，分析消费和投资变化。
2023-11-30,全国人民代表大会召开，审议经济和社会发展计划的相关议题。
2023-12-01,国家统计局发布11月份制造业和非制造业PMI，分析经济趋势。
2023-12-05,央行召开货币政策委员会会议，讨论年末流动性管理和利率政策。
2023-12-10,国务院发布新一轮促进消费和投资的政策措施。
2023-12-15,国家发改委召开会议，部署2024年基础设施建设计划。
2023-12-20,证监会发布年度报告，回顾资本市场的重要变化和改革进展。
2023-12-25,国家统计局发布全年经济数据预测，分析经济增长和发展趋势。
2023-12-30,全国人民代表大会举行年终总结会议，审议2024年经济社会发展计划。
